Year,Week,State,Area,Location,Total_Kes,Duration_of_Outbreak_in_day
2014,1,Selangor,Petaling,"Pjs 8 Mentari Court 1 (Blok A, B, C,D)",134,202
2014,1,Selangor,Petaling,Seksyen 7 Shah Alam Flat A (Blok 1 - Blok 12 & Blok 38 - Blok 43),192,181
2014,1,Selangor,Petaling,Seksyen 7 Shah Alam Flat B (Blok 13 - Blok 37),100,160
2014,1,Selangor,Petaling,Seksyen 7 Shah Alam Teres A Zon A (Jln 7/11 - 7/22),30,128
2014,1,Selangor,Hulu Langat,Jalan 8/1-15 Seksyen 8 Bandar Baru Bangi,39,117
2014,1,Selangor,Hulu Langat,Flat Sri Nilam Bandar Baru Ampang,50,116
2014,1,Selangor,Hulu Langat,Jalan 7/3 Seksyen 7 Bandar Baru Bangi,38,105
2014,1,Selangor,Petaling,,66,102
2014,1,Selangor,Petaling,Pusat Bandar Puchong 5 ( Sri Jati ),25,102
2014,1,Selangor,Petaling,Pjs 9 Lagoon Perdana,35,101
2014,1,Selangor,Hulu Langat,Jalan Nirwana 1-17 Taman Nirwana,29,100
2014,1,Selangor,Petaling,Seksyen 7E B Pusat Komersial (Jln Aa7/Aa & Ac7/Ac & Jln U7/U - Z7/Z),34,100
2014,1,Selangor,Petaling,Ss 19/1 Subang Jaya,32,98
2014,1,Selangor,Hulu Langat,Pangsapuri Delima Taman Pinggiran Delima,24,97
2014,1,Selangor,Petaling,Pjs 10 Kondo Ridzuan,44,97
2014,1,Selangor,Petaling,Seksyen 27 Apartment Ixora,55,96
2014,1,Selangor,Petaling,Pjs 2C Taman Medan,26,96
2014,1,Selangor,Petaling,Bandar Bukit Puchong 1 (Flat Bdr Bukit Puchong),19,95
2014,1,Selangor,Hulu Langat,Jalan Tps 3 Taman Pelangi Semenyih,86,93
2014,1,Selangor,Petaling,Seksyen 7 Shah Alam Teres B Zon C (Jln 7/31 - 7/35),95,93
2014,1,Selangor,Petaling,Ss 3 ( Taman Universiti ),31,91
2014,1,Selangor,Petaling,Taman Equine (Jln Putra Permai 2),31,90
2014,1,Selangor,Petaling,"Pjs 6 Flat Desa Mentari 2 (Blok 4, 5 , 6)",18,89
2014,1,Selangor,Petaling,Seksyen 8 Teres B2 (Jln 8/14 - Jln 8/28),67,87
2014,1,Selangor,Petaling,"Pju 10 Apartment Idaman 2 ( Blok E,F,G,O,P,Q,R,S )",26,84
2014,1,Selangor,Petaling,Taman Pinggiran Putra (Putra Permai Selesa Appt),34,83
2014,1,Selangor,Hulu Langat,Appt Sri Tanjung Seksyen 7 Bandar Baru Bangi,12,82
2014,1,Selangor,Petaling,Pju 5 Seksyen 6,43,81
2014,1,Selangor,Gombak,Appt Casmaria,30,79
2014,1,Selangor,Hulu Langat,Taman Taming Impian,36,78
2014,1,Selangor,Petaling,Pjs 5 Flat Desa Ria,40,75
2014,1,Selangor,Petaling,Bandar Bukit Puchong Vista Prima,34,75
2014,1,Selangor,Petaling,Seksyen 7 Shah Alam Kondominium Kristal Height,17,72
2014,1,Selangor,Petaling,Pjs 10 Taman Sri Subang,20,67
2014,1,Selangor,Petaling,Pjs 10 Taman Dato Hormat,13,66
2014,1,Selangor,Hulu Langat,Pangsapuri Cheras Utama,18,65
2014,1,Selangor,Petaling,Pju 5 Seksyen 4 Gugusan Semarak,14,65
2014,1,Selangor,Hulu Langat,Taman Sungai Jelok,24,60
2014,1,Selangor,Petaling,Seksyen 18 Teres D,18,60
2014,1,Selangor,Petaling,Taman Lestari Putra 4,19,60
2014,1,Selangor,Petaling,"Ss 9A 2 ( Jln 9A/1,2,4,13,14,15,16,18,19 )",10,58
2014,1,Selangor,Petaling,Pusat Bandar Puchong (Jln Wawasan 2),13,58
2014,1,Selangor,Hulu Langat,Jalan 4/3 Seksyen 4 Bandar Baru Bangi,21,57
2014,1,Selangor,Hulu Langat,Flat Taman Dagang,9,55
2014,1,Selangor,Hulu Langat,Taman Tenaga,16,55
2014,1,Selangor,Petaling,Seksyen 7 Pangsapuri Kristal,27,55
2014,1,Selangor,Petaling,Seri Kembangan (The Heritage),29,55
2014,1,Selangor,Hulu Langat,Lorong Dato Mufti 1-6 Kampung Dato Mufti,8,54
2014,1,Selangor,Hulu Langat,Pangsapuri Prima Saujana Kajang,14,54
2014,1,Selangor,Petaling,Seksyen 16 Kuarters Suk,20,54
2014,1,Selangor,Petaling,Batu 13 Kampung Tengah,7,54
2014,1,N. Sembilan,Seremban,Vision Homes,10,54
2014,1,Selangor,Hulu Langat,Taman Muhibbah,5,54
2014,1,Selangor,Petaling,Ss 8 Petaling Jaya,10,53
2014,1,Selangor,Petaling,Bandar Bukit Puchong 3,16,53
2014,1,Selangor,Gombak,Tmn Greenwood Zon 1,11,52
2014,1,Selangor,Hulu Langat,Jalan Tps 2 Taman Pelangi Semenyih,11,52
2014,1,Selangor,Petaling,Seksyen 18 (Uitm-Kolej Cemara),22,52
2014,1,Selangor,Petaling,Bandar Kinrara 4,11,52
2014,1,Selangor,Hulu Langat,Jalan Baiduri Taman Desa Baiduri,9,51
2014,1,Selangor,Petaling,Seksyen 24 Flat Pkns A ( Blok 1 - 9 ),32,50
2014,1,Selangor,Hulu Langat,Jalan 23-31 Taman Cempaka,6,49
2014,1,Selangor,Gombak,Tmn Bkt Rawang Jaya,7,48
2014,1,Selangor,Hulu Langat,Jalan Dagang 2/1-2/7 Taman Dagang,8,48
2014,1,Selangor,Hulu Langat,Jalan 4C/4-4C/6 Bandar Tasik Kesuma,9,47
2014,1,Selangor,Sepang,Cyberia Smarthome,53,46
2014,1,Selangor,Hulu Langat,Chancellor Kondominium Taman Kosas,14,45
2014,1,Selangor,Hulu Langat,Jalan 3/29-33 Seksyen 3 Bandar Baru Bangi,19,45
2014,1,Selangor,Hulu Langat,Taman Mesra Kajang,21,45
2014,1,Selangor,Petaling,Seksyen U2 (Pangsapuri Jaya),34,45
2014,1,Selangor,Petaling,Ss 19/6,24,45
2014,1,Selangor,Petaling,Taman Puchong Utama 8,8,44
2014,1,Selangor,Hulu Langat,Jalan 3/13-22 Seksyen 3 Bandar Baru Bangi,53,43
2014,1,Selangor,Hulu Langat,Kampung Baru Semenyih,10,43
2014,1,Selangor,Petaling,Seksyen 24 Teres B,8,43
2014,1,N. Sembilan,Seremban,Taman Pinggiran Senawang,16,43
2014,1,Selangor,Petaling,"Pju 8 Apt Flora Damansara 2 (Blok C, D, E, F)",9,42
2014,1,Selangor,Petaling,Taman Pinggiran Putra 39 ( Putra Impian ),7,42
2014,1,Selangor,Hulu Langat,Jalan Maju 1 Taman Lembah Maju,6,41
2014,1,Selangor,Hulu Langat,Jalan 3/7-12 Seksyen 3 Bandar Baru Bangi,11,41
2014,1,Selangor,Hulu Langat,Jalan 4/7 Seksyen 4 Bandar Baru Bangi,19,41
2014,1,Selangor,Hulu Langat,Jalan Puncak 3 Taman Puncak Saujana,11,41
2014,1,Selangor,Petaling,Seksyen 20 Teres F,9,41
2014,1,Selangor,Petaling,Taman Dato Harun,13,41
2014,1,N. Sembilan,Seremban,Taman Bandar Senawang,9,41
2014,1,Selangor,Hulu Langat,Jalan 1/7-1/19 Pandan Indah,8,40
2014,1,Selangor,Petaling,Seksyen U16 Teres N Denai Alam,12,40
2014,1,Selangor,Petaling,Taman Serdang Jaya 2,11,40
2014,1,Selangor,Gombak,Bdr Baru Selayang Fasa 1 (Zon 1),17,39
2014,1,Selangor,Hulu Langat,"Jalan Kosas 2/2,2/4,2/7,2/9,2/11B Taman Kosas",7,39
2014,1,Selangor,Hulu Langat,Appt Vista Bandar Sri Putra,9,39
2014,1,Selangor,Hulu Langat,Taman Sri Intan,11,39
2014,1,Selangor,Petaling,Seksyen 17 Padang Jawa C,7,39
2014,1,Selangor,Petaling,Seksyen U1 Kuarters Pendidikan Politeknik,15,39
2014,1,Selangor,Hulu Langat,Jalan 4B Bandar Tasik Kesuma,7,38
2014,1,Selangor,Hulu Langat,Jalan 7/5 Seksyen 7 Bandar Baru Bangi,9,38
2014,1,Selangor,Petaling,Seksyen 24 Teres C ( Jalan 24/8 - 24/12 ),6,38
2014,1,Selangor,Petaling,Taman Lestari Perdana 7,7,38
2014,1,Selangor,Petaling,Taman Sri Puchong ( Jln Meranti ),8,38
2014,1,Selangor,Hulu Langat,Jalan 15/3 Seksyen 15 Bandar Baru Bangi,5,37
2014,1,Selangor,Petaling,Seksyen U10 Alam Budiman ( Jln Pulau Lumut),17,37
2014,1,Selangor,Petaling,Seksyen U16 Denai Alam Teres M,18,37
2014,1,Selangor,Petaling,Seksyen U3 Apartment Daisy B ( Blok 3 - 8 ),5,37
2014,1,Selangor,Hulu Langat,Jalan 4/11 Seksyen 4 Bandar Baru Bangi,15,35
2014,1,Selangor,Hulu Langat,Seksyen 1 Bandar Rinching,20,35
2014,1,Selangor,Petaling,Seksyen 7E B Shah Alam (Jln 7/101 - 7/103),8,35
2014,1,Selangor,Petaling,Ss 9,13,35
2014,1,Selangor,Petaling,Taman Sri Serdang 2 (18/8 - 18/28),6,35
2014,1,Selangor,Hulu Langat,Jalan Tkp 1-14 Taman Kantan Permai,9,34
2014,1,Selangor,Hulu Langat,Jalan Wawasan 1/1-1/10 Bandar Baru Ampang,8,33
2014,1,Selangor,Petaling,Seksyen U5 Subang Bestari E,7,33
2014,1,Selangor,Petaling,Ss 14/1,6,33
2014,1,Selangor,Petaling,Ss 15/5,4,33
2014,1,Selangor,Petaling,Taman Bukit Serdang 13 (P'Puri Orkid),4,33
2014,1,Selangor,Gombak,Tmn Jasa,11,32
2014,1,Selangor,Hulu Langat,Jalan 3/63-66 Bandar Baru Bangi,10,32
2014,1,Selangor,Petaling,Seksyen 2 Uitm S.Alam Kolej Meranti,7,32
2014,1,Selangor,Petaling,Seksyen 7 Shah Alam Teres D Zon D (Jln 7/72 - 7/89),16,32
2014,1,Selangor,Petaling,Seksyen U5 Apartment Merak,8,32
2014,1,Selangor,Petaling,Seksyen U16 Denai Alam ( Teres Q ),5,32
2014,1,Selangor,Petaling,Ss 8 Apartment Kelana Impian,6,32
2014,1,Selangor,Petaling,"Seksyen U20 Bdr Baru Sg Buloh Fasa 1A (Jln 1A , Jln Industri & Kedai)",16,32
2014,1,Selangor,Hulu Langat,Kuarters Penjara Kajang,14,31
2014,1,Selangor,Petaling,Pju 5 Sek 11 Gugusan Dedap 1(Blok 1-5),4,31
2014,1,Selangor,Petaling,Taman Lestari Perdana ( Sri Indah ),16,31
2014,1,Selangor,Petaling,Taman Puchong Perdana (Jln Mawar),6,31
2014,1,Selangor,Petaling,Taman Pinggiran Putra 16 ( Putra Indah ),7,31
2014,2,Selangor,Petaling,"Pjs 8 Mentari Court  1 (Blok A, B, C,D)",136,209
2014,2,Selangor,Petaling,Seksyen 7 Shah Alam Flat A (Blok 1-Blok 12 & Blok 38 - Blok 43),194,188
2014,2,Selangor,Petaling,Seksyen 7 Shah Alam Flat B (Blok 13 - Blok 37),101,167
2014,2,Selangor,Hulu Langat,Jalan 8/1-15 Seksyen 8 Bandar Baru Bangi,39,124
2014,2,Selangor,Hulu Langat,Jalan 7/3 Seksyen 7 Bandar Baru Bangi,38,112
2014,2,Selangor,Petaling,Pusat Bandar Puchong 5 ( Sri Jati ),28,109
2014,2,Selangor,Petaling,Pjs 9 Lagoon Perdana,70,109
2014,2,Selangor,Petaling,Seksyen  3 Uitm Shah Alam Kolej Jati,42,108
2014,2,Selangor,Petaling,"Seksyen 7E B Pusat Komersial (Jalan Aa7/Aa & Ac7/Ac &
Jalan U7/U - Z7/Z)",36,107
2014,2,Selangor,Hulu Langat,Jalan Nirwana 1-17 Taman Nirwana,30,107
2014,2,Selangor,Petaling,Ss 19/1 Subang Jaya,34,105
2014,2,Selangor,Petaling,Pjs 10 Kondo Ridzuan,49,104
2014,2,Selangor,Hulu Langat,Pangsapuri Delima Taman Pinggiran Delima,26,104
2014,2,Selangor,Petaling,Seksyen 27 Apartment Ixora,62,103
2014,2,Selangor,Petaling,Seksyen U5 Pangsapuri Subang Suria,23,102
2014,2,Selangor,Petaling,Bandar  Bukit Puchong 1 (Flat Bandar Bukit Puchong),20,102
2014,2,Selangor,Petaling,Seksyen 7 Shah Alam Teres B Zon C (Jalan 7/31 - 7/35),100,100
2014,2,Selangor,Hulu Langat,Jalan Tps 3 Taman Pelangi Semenyih,96,100
2014,2,Selangor,Petaling,"Ss 3 ( Taman Universiti
)",31,98
2014,2,Selangor,Petaling,"Pjs 6 Flat Desa Mentari 2 (Blok 4, 5 , 6)",23,96
2014,2,Selangor,Petaling,Seksyen 8 Teres B2 (Jalan 8/14 - Jalan 8/28),73,94
2014,2,Selangor,Petaling,"Pju 10
Apartmentidaman 2 ( Blok E,F,G,O,P,Q,R,S )",28,91
2014,2,Selangor,Hulu Langat,Apartment Sri Tanjung Seksyen 7 Bandar Baru Bangi,13,89
2014,2,Selangor,Petaling,Pju 5 Seksyen 6,52,88
2014,2,Selangor,Gombak,Apartment Casmaria,30,86
2014,2,Selangor,Hulu Langat,Taman Taming Impian,38,85
2014,2,Selangor,Petaling,Pjs 5 Flat Desa Ria,43,82
2014,2,Selangor,Petaling,Seksyen 7 Shah Alam Kondominium Kristal Height,18,79
2014,2,Selangor,Petaling,Pjs 10 Taman Sri Subang,21,74
2014,2,Selangor,Petaling,Pjs 10 Taman Dato Hormat,17,73
2014,2,Selangor,Petaling,Pju 5 Seksyen 4 Gugusan Semarak,16,72
2014,2,Selangor,Hulu Langat,Pangsapuri Cheras Utama,19,72
2014,2,Selangor,Petaling,Taman Lestari Putra 4,20,67
2014,2,Selangor,Petaling,Seksyen 18 Teres D,19,67
2014,2,Selangor,Hulu Langat,Taman Sungai Jelok,28,67
2014,2,Selangor,Petaling,"Ss 9A 2 ( Jln 9A/1,2,4,13,14,15,16,18
,19 )",11,65
2014,2,Selangor,Petaling,Pusat Bandar Puchong (Jalan Wawasan 2),14,65
2014,2,Selangor,Petaling,Seri Kembangan (The Heritage),36,62
2014,2,Selangor,Petaling,Seksyen  7 Pangsapuri Kristal,28,62
2014,2,N. Sembilan,Seremban,Vision Homes,11,61
2014,2,Selangor,Petaling,Seksyen 16 Kuarters Suk,21,61
2014,2,Selangor,Hulu Langat,Lorong Dato Mufti 1-6 Kampung Dato Mufti,9,61
2014,2,Selangor,Hulu Langat,Pangsapuri Prima Saujana Kajang,16,61
2014,2,Selangor,Petaling,Bandar Bukit Puchong 3,18,60
2014,2,Selangor,Petaling,Seksyen 18 (Uitm-Kolej Cemara),25,59
2014,2,Selangor,Hulu Langat,Jalan Tps 2 Taman Pelang Semenyih,11,59
2014,2,Selangor,Hulu Langat,Jalan Baiduri Taman Desa Baiduri,9,58
2014,2,Selangor,Petaling,Seksyen 24 Flat Pkns A ( Blok 1 - 9 ),37,57
2014,2,Selangor,Gombak,Taman Bukit Rawang Jaya,7,55
2014,2,Selangor,Hulu Langat,Jalan Dagang 2/1-2/7 Taman Dagang,9,55
2014,2,Selangor,Petaling,Ss 19/6,31,52
2014,2,Selangor,Petaling,Seksyen U2 (Pangsapuri Jaya),42,52
2014,2,Selangor,Hulu Langat,Chancellor Kondominium Taman Kosas,14,52
2014,2,Selangor,Hulu Langat,Jalan 3/29-33 Seksyen 3 Bandar Baru Bangi,20,52
2014,2,Selangor,Hulu Langat,Taman Mesra Kajang,23,52
2014,2,Selangor,Petaling,Taman Puchong Utama 8,8,51
2014,2,N. Sembilan,Seremban,Taman Pinggiran Senawang,19,50
2014,2,Selangor,Petaling,Seksyen  24 Teres B,9,50
2014,2,Selangor,Hulu Langat,Jalan 3/13-22 Seksyen 3 Bandar Baru Bangi,64,50
2014,2,Selangor,Hulu Langat,Kampung Baru Semenyih,13,50
2014,2,Selangor,Petaling,"Taman Pinggiran Putra
39       ( Putra Impian )",8,49
2014,2,Selangor,Petaling,Taman Dato Harun,18,48
2014,2,Selangor,Hulu Langat,Jalan Maju 1 Taman Lembah Maju,7,48
2014,2,Selangor,Hulu Langat,Jalan 3/7-12 Seksyen 3 Bandar Baru Bangi,14,48
2014,2,Selangor,Hulu Langat,Jalan 4/7 Seksyen 4 Bandar Baru Bangi,22,48
2014,2,Selangor,Hulu Langat,Jalan Puncak 3 Taman Puncak Saujana,15,48
2014,2,Selangor,Petaling,Seksyen 7 Pangsapuri Baiduri,11,47
2014,2,Selangor,Petaling,Seksyen U16 Teres N Denai Alam,14,47
2014,2,Selangor,Hulu Langat,Jalan 1/7-1/19 Pandan Indah,11,47
2014,2,Selangor,Petaling,Seksyen U1 Kuarters Pendidikan Politeknik,17,46
2014,2,Selangor,Gombak,Bandar Baru Selayang Fasa 1 (Zon 1),17,46
2014,2,Selangor,Hulu Langat,Apartment Vista Bandar Sri Putra,10,46
2014,2,Selangor,Hulu Langat,Taman Seri Intan,13,46
