Stnno,Year,Month,Day,Rainfall_mm,Wind_mean_24Hr,Humidity,Solar_Radiation_Mjm2
48603,2008,1,1,-33.3,2.5,na,na
48603,2008,1,2,0,2.2,na,na
48603,2008,1,3,0,2.1,na,na
48603,2008,1,4,0,2.2,na,na
48603,2008,1,5,0,2,na,na
48603,2008,1,6,0,1.9,na,na
48603,2008,1,7,0,2,na,na
48603,2008,1,8,0,1.9,na,na
48603,2008,1,9,31.6,1.8,na,na
48603,2008,1,10,0,1.1,na,na
48603,2008,1,11,0,1.2,na,na
48603,2008,1,12,0,1.5,na,na
48603,2008,1,13,0,1.4,na,na
48603,2008,1,14,0,1.3,na,na
48603,2008,1,15,0,1.3,na,na
48603,2008,1,16,1,1.7,na,na
48603,2008,1,17,-33.3,1.5,na,na
48603,2008,1,18,0.2,2.3,na,na
48603,2008,1,19,0,2.5,na,na
48603,2008,1,20,0,2,na,na
48603,2008,1,21,0,2.1,na,na
48603,2008,1,22,0,2.8,na,na
48603,2008,1,23,0,3,na,na
48603,2008,1,24,0,2.5,na,na
48603,2008,1,25,0,2,na,na
48603,2008,1,26,0,2.2,na,na
48603,2008,1,27,0,2.4,na,na
48603,2008,1,28,0,1.8,na,na
48603,2008,1,29,0,1.8,na,na
48603,2008,1,30,0,1.7,na,na
48603,2008,1,31,0,1.8,na,na
48603,2008,2,1,13.2,1.7,na,na
48603,2008,2,2,1.6,1.2,na,na
48603,2008,2,3,15.8,1.8,na,na
48603,2008,2,4,0,2.3,na,na
48603,2008,2,5,0,2.8,na,na
48603,2008,2,6,0,2.8,na,na
48603,2008,2,7,0,2.2,na,na
48603,2008,2,8,0,2.5,na,na
48603,2008,2,9,0,2.7,na,na
48603,2008,2,10,0,2.7,na,na
48603,2008,2,11,0,2.6,na,na
48603,2008,2,12,0,2.4,na,na
48603,2008,2,13,0,2.5,na,na
48603,2008,2,14,0,2.8,na,na
48603,2008,2,15,0,2.5,na,na
48603,2008,2,16,0,2.5,na,na
48603,2008,2,17,0,2.5,na,na
48603,2008,2,18,0,3.3,na,na
48603,2008,2,19,0,2.8,na,na
48603,2008,2,20,0,2.5,na,na
48603,2008,2,21,0,2,na,na
48603,2008,2,22,0,1.7,na,na
48603,2008,2,23,0,1.4,na,na
48603,2008,2,24,-33.3,1.4,na,na
48603,2008,2,25,-33.3,1.5,na,na
48603,2008,2,26,0,1.4,na,na
48603,2008,2,27,0.8,3,na,na
48603,2008,2,28,75.2,1.3,na,na
48603,2008,2,29,6.2,0.8,na,na
48603,2008,3,1,11.2,2,na,na
48603,2008,3,2,0,2.1,na,na
48603,2008,3,3,0,1.7,na,na
48603,2008,3,4,0,1.4,na,na
48603,2008,3,5,0,2.3,na,na
48603,2008,3,6,0,2.7,na,na
48603,2008,3,7,9.2,1.9,na,na
48603,2008,3,8,60.2,1.7,na,na
48603,2008,3,9,0,2,na,na
48603,2008,3,10,0,2.4,na,na
48603,2008,3,11,0.4,2.1,na,na
48603,2008,3,12,0,2.1,na,na
48603,2008,3,13,-33.3,1.4,na,na
48603,2008,3,14,0,2.3,na,na
48603,2008,3,15,0,2.1,na,na
48603,2008,3,16,0,2.2,na,na
48603,2008,3,17,0,2.2,na,na
48603,2008,3,18,43,1.5,na,na
48603,2008,3,19,0.6,1.6,na,na
48603,2008,3,20,0,1.5,na,na
48603,2008,3,21,38,1.7,na,na
48603,2008,3,22,1,1.6,na,na
48603,2008,3,23,1,1.5,na,na
48603,2008,3,24,15.6,1.8,na,na
48603,2008,3,25,28,1.5,na,na
48603,2008,3,26,23.8,2,na,na
48603,2008,3,27,0,1.9,na,na
48603,2008,3,28,0,1.7,na,na
48603,2008,3,29,0.8,1.4,na,na
48603,2008,3,30,0,2,na,na
48603,2008,3,31,0,1.7,na,na
48603,2008,4,1,24.2,1.9,na,na
48603,2008,4,2,1,1.8,na,na
48603,2008,4,3,4,1.9,na,na
48603,2008,4,4,0,1.9,na,na
48603,2008,4,5,2,1.7,na,na
48603,2008,4,6,0,1.9,na,na
48603,2008,4,7,5.4,2,na,na
48603,2008,4,8,3.2,1.5,na,na
48603,2008,4,9,-33.3,1.9,na,na
48603,2008,4,10,4,1.7,na,na
48603,2008,4,11,3.8,1.9,na,na
48603,2008,4,12,25.4,1.3,na,na
48603,2008,4,13,8.2,1.5,na,na
48603,2008,4,14,0,1.6,na,na
48603,2008,4,15,25,1.9,na,na
48603,2008,4,16,3.2,2.2,na,na
48603,2008,4,17,0,2.3,na,na
48603,2008,4,18,13.6,2.2,na,na
48603,2008,4,19,60.2,2.2,na,na
48603,2008,4,20,0,1.7,na,na
48603,2008,4,21,1.4,1.1,na,na
48603,2008,4,22,42.2,1.8,na,na
48603,2008,4,23,0,2.1,na,na
48603,2008,4,24,36.2,1.1,na,na
48603,2008,4,25,0,1.2,na,na
48603,2008,4,26,0,1.6,na,na
48603,2008,4,27,0,2.2,na,na
48603,2008,4,28,1.8,1.5,na,na
48603,2008,4,29,2.6,1.4,na,na
48603,2008,4,30,3.2,1.5,na,na
48603,2008,5,1,0,2.1,na,na
48603,2008,5,2,0,1.5,na,na
48603,2008,5,3,0,1.5,na,na
48603,2008,5,4,0,1.7,na,na
48603,2008,5,5,0.6,1.3,na,na
48603,2008,5,6,3.2,1.5,na,na
48603,2008,5,7,13.8,1.8,na,na
48603,2008,5,8,0.6,1,na,na
48603,2008,5,9,10.6,1.5,na,na
48603,2008,5,10,26,1.5,na,na
48603,2008,5,11,24.8,1.3,na,na
48603,2008,5,12,0,1.6,na,na
48603,2008,5,13,3.8,0.9,na,na
48603,2008,5,14,11.6,0.9,na,na
48603,2008,5,15,0,1.4,na,na
48603,2008,5,16,0,1.4,na,na
48603,2008,5,17,0,1.5,na,na
48603,2008,5,18,0,1.7,na,na
48603,2008,5,19,0,1.5,na,na
48603,2008,5,20,0,1.5,na,na
48603,2008,5,21,0,1.8,na,na
48603,2008,5,22,7.8,1.7,na,na
48603,2008,5,23,1,1.7,na,na
48603,2008,5,24,0,1.9,na,na
48603,2008,5,25,1,1.7,na,na
48603,2008,5,26,0,1.8,na,na
48603,2008,5,27,5.2,1.8,na,na
48603,2008,5,28,117.4,2.1,na,na
48603,2008,5,29,0,2.3,na,na
48603,2008,5,30,7.8,2,na,na
48603,2008,5,31,31.8,1.6,na,na
48603,2008,6,1,0,1.9,na,na
48603,2008,6,2,0,1.9,na,na
48603,2008,6,3,0,1.7,na,na
48603,2008,6,4,64.2,1.7,na,na
48603,2008,6,5,2.2,1.6,na,na
48603,2008,6,6,18.4,1.5,na,na
48603,2008,6,7,0.8,1.7,na,na
48603,2008,6,8,0.4,1.7,na,na
48603,2008,6,9,0.2,1.1,na,na
48603,2008,6,10,27.8,1.3,na,na
48603,2008,6,11,-33.3,1.3,na,na
48603,2008,6,12,0.4,1.7,na,na
48603,2008,6,13,3.4,1,na,na
48603,2008,6,14,0,1.3,na,na
48603,2008,6,15,0,1,na,na
48603,2008,6,16,0,1.4,na,na
48603,2008,6,17,0,1.1,na,na
48603,2008,6,18,49.4,1.5,na,na
48603,2008,6,19,0,1.7,na,na
48603,2008,6,20,0,1.5,na,na
48603,2008,6,21,0,1.9,na,na
48603,2008,6,22,0.2,1.7,na,na
48603,2008,6,23,23.6,1.4,na,na
48603,2008,6,24,5.2,1.3,na,na
48603,2008,6,25,7.4,2,na,na
48603,2008,6,26,0.2,1.5,na,na
48603,2008,6,27,0,1.3,na,na
48603,2008,6,28,0,1.4,na,na
48603,2008,6,29,0,1.4,na,na
48603,2008,6,30,1.4,1.8,na,na
48603,2008,7,1,0,1.4,na,na
48603,2008,7,2,0.6,1.5,na,na
48603,2008,7,3,14.8,2,na,na
48603,2008,7,4,0,1.4,na,na
48603,2008,7,5,0,1.3,na,na
48603,2008,7,6,0,1.5,na,na
48603,2008,7,7,10.2,1.6,na,na
48603,2008,7,8,-33.3,1.5,na,na
48603,2008,7,9,21,1.8,na,na
48603,2008,7,10,7.2,1.5,na,na
48603,2008,7,11,1.2,1.2,na,na
48603,2008,7,12,0,1.6,na,na
48603,2008,7,13,1.2,1.6,na,na
48603,2008,7,14,7.4,1.3,na,na
48603,2008,7,15,0.2,2,na,na
48603,2008,7,16,10.6,1.9,na,na
48603,2008,7,17,30.2,2.1,na,na
48603,2008,7,18,7,1.9,na,na
48603,2008,7,19,4.2,1.6,na,na
48603,2008,7,20,6,2,na,na
48603,2008,7,21,0,1.3,na,na
48603,2008,7,22,0.6,1.6,na,na
48603,2008,7,23,4.4,1.4,na,na
48603,2008,7,24,0,1.4,na,na
48603,2008,7,25,0,1.1,na,na
48603,2008,7,26,7,1.2,na,na
48603,2008,7,27,0,0.7,na,na
48603,2008,7,28,0,1.2,na,na
48603,2008,7,29,0,1.3,na,na
48603,2008,7,30,0,1.6,na,na
48603,2008,7,31,0,1.5,na,na
48603,2008,8,1,0,1.6,na,na
48603,2008,8,2,0,1.6,na,na
48603,2008,8,3,56.2,1.3,na,na
48603,2008,8,4,0,1.6,na,na
48603,2008,8,5,10.6,1.3,na,na
48603,2008,8,6,15.4,1.5,na,na
48603,2008,8,7,1.6,1.2,na,na
48603,2008,8,8,0,1.5,na,na
48603,2008,8,9,0,1.5,na,na
48603,2008,8,10,36.8,1.5,na,na
48603,2008,8,11,0,1.6,na,na
48603,2008,8,12,0,1.5,na,na
48603,2008,8,13,0.2,1.4,na,na
48603,2008,8,14,0,1.5,na,na
48603,2008,8,15,0,1.6,na,na
48603,2008,8,16,7.8,1.5,na,na
48603,2008,8,17,0,1.6,na,na
48603,2008,8,18,0.6,1.8,na,na
48603,2008,8,19,17.4,1.6,na,na
48603,2008,8,20,-33.3,2,na,na
48603,2008,8,21,4.2,1.5,na,na
48603,2008,8,22,19.6,1.9,na,na
48603,2008,8,23,0,1.6,na,na
48603,2008,8,24,2.2,2.1,na,na
48603,2008,8,25,-33.3,1.6,na,na
48603,2008,8,26,6,1.9,na,na
48603,2008,8,27,29.6,2.1,na,na
48603,2008,8,28,1.2,2.1,na,na
48603,2008,8,29,12,1.4,na,na
48603,2008,8,30,3.2,1.7,na,na
48603,2008,8,31,17.6,2.1,na,na
48603,2008,9,1,9.2,1.6,na,na
48603,2008,9,2,18.2,1.6,na,na
48603,2008,9,3,-33.3,1.6,na,na
48603,2008,9,4,11.8,2.1,na,na
48603,2008,9,5,7.6,1.8,na,na
48603,2008,9,6,23.2,2.3,na,na
48603,2008,9,7,1,1.1,na,na
48603,2008,9,8,6.6,2,na,na
48603,2008,9,9,9.8,1.5,na,na
48603,2008,9,10,32,1.5,na,na
48603,2008,9,11,0,1.7,na,na
48603,2008,9,12,0,1.5,na,na
48603,2008,9,13,-33.3,1.5,na,na
48603,2008,9,14,0,1.2,na,na
48603,2008,9,15,2.4,1.6,na,na
48603,2008,9,16,1.8,1.1,na,na
48603,2008,9,17,0,1.2,na,na
48603,2008,9,18,0,1.6,na,na
48603,2008,9,19,3.2,1.3,na,na
48603,2008,9,20,-33.3,1.7,na,na
48603,2008,9,21,6.8,1.8,na,na
48603,2008,9,22,0,2.3,na,na
48603,2008,9,23,0,1.9,na,na
48603,2008,9,24,0,1.9,na,na
48603,2008,9,25,6.4,1.7,na,na
48603,2008,9,26,25.4,2,na,na
48603,2008,9,27,0,2.1,na,na
48603,2008,9,28,8,1.7,na,na
48603,2008,9,29,60.2,1.7,na,na
48603,2008,9,30,21.4,2,na,na
48603,2008,10,1,-33.3,2.2,na,na
48603,2008,10,2,0,1.1,na,na
48603,2008,10,3,0,1.6,na,na
48603,2008,10,4,7,1.4,na,na
48603,2008,10,5,17.4,1.8,na,na
48603,2008,10,6,-33.3,2.6,na,na
