Stnno,Year,Month,Day,Rainfall_mm,Wind_mean_24Hr,Humidity,Solar_Radiation_Mjm2
48648,2008,1,1,17.4,1.7,na,na
48648,2008,1,2,2.2,1.9,na,na
48648,2008,1,3,0.8,1.6,na,na
48648,2008,1,4,53.6,1.5,na,na
48648,2008,1,5,0.6,1.8,na,na
48648,2008,1,6,3.6,1.3,na,na
48648,2008,1,7,1.0,1.1,na,na
48648,2008,1,8,3.8,1.3,na,na
48648,2008,1,9,13.2,1.2,na,na
48648,2008,1,10,16.6,1.8,na,na
48648,2008,1,11,10.4,1.4,na,na
48648,2008,1,12,1.2,1.7,na,na
48648,2008,1,13,14.8,1.3,na,na
48648,2008,1,14,0.2,1.3,na,na
48648,2008,1,15,0.0,1.7,na,na
48648,2008,1,16,0.6,1.7,na,na
48648,2008,1,17,0.0,2.3,na,na
48648,2008,1,18,-33.3,1.9,na,na
48648,2008,1,19,18.6,1.2,na,na
48648,2008,1,20,0.2,1.6,na,na
48648,2008,1,21,48.8,1.4,na,na
48648,2008,1,22,0.0,1.9,na,na
48648,2008,1,23,0.0,1.5,na,na
48648,2008,1,24,0.0,1.3,na,na
48648,2008,1,25,21.2,1.3,na,na
48648,2008,1,26,37.4,1.5,na,na
48648,2008,1,27,6.0,1.4,na,na
48648,2008,1,28,0.0,1.2,na,na
48648,2008,1,29,12.4,1.6,na,na
48648,2008,1,30,49.8,1.4,na,na
48648,2008,1,31,10.4,1.5,na,na
48648,2008,2,1,-33.3,1.5,na,na
48648,2008,2,2,85.8,1.6,na,na
48648,2008,2,3,8.8,1.6,na,na
48648,2008,2,4,0.0,1.3,na,na
48648,2008,2,5,-33.3,1.3,na,na
48648,2008,2,6,0.0,1.7,na,na
48648,2008,2,7,14.4,2.1,na,na
48648,2008,2,8,0.0,-1.1,na,na
48648,2008,2,9,0.0,1.5,na,na
48648,2008,2,10,2.4,1.7,na,na
48648,2008,2,11,0.0,1.7,na,na
48648,2008,2,12,14.2,1.6,na,na
48648,2008,2,13,0.0,1.5,na,na
48648,2008,2,14,0.0,1.5,na,na
48648,2008,2,15,0.0,1.4,na,na
48648,2008,2,16,5.2,1.5,na,na
48648,2008,2,17,17.6,1.4,na,na
48648,2008,2,18,0.0,2.1,na,na
48648,2008,2,19,0.0,1.7,na,na
48648,2008,2,20,0.4,1.9,na,na
48648,2008,2,21,0.0,1.7,na,na
48648,2008,2,22,0.0,1.7,na,na
48648,2008,2,23,0.0,1.4,na,na
48648,2008,2,24,0.0,1.9,na,na
48648,2008,2,25,43.0,1.8,na,na
48648,2008,2,26,0.2,1.9,na,na
48648,2008,2,27,50.4,1.4,na,na
48648,2008,2,28,7.8,1.3,na,na
48648,2008,2,29,16.4,1.5,na,na
48648,2008,3,1,18.2,1.6,na,na
48648,2008,3,2,31.6,1.5,na,na
48648,2008,3,3,30.4,0.8,na,na
48648,2008,3,4,0.0,1.3,na,na
48648,2008,3,5,0.0,1.4,na,na
48648,2008,3,6,24.6,1.3,na,na
48648,2008,3,7,3.4,1.5,na,na
48648,2008,3,8,2.8,1.4,na,na
48648,2008,3,9,6.2,1.4,na,na
