"","Area","Year","Week","State","Location","Total_Kes","Duration_of_Outbreak_in_day","Wind_mean_weekly","Rainfall_mm_mean_weekly","Humidity_mean_weekly","Solar_Radiation_Mjm2_mean_weekly","Area_Population"
"1","Gombak",2014,48,"SELANGOR","Appt_Bdr_Baru_Kundang",43,64,70.4285714285714,27.4,0.871428571428571,0,668694
"2","Gombak",2015,11,"SELANGOR","Tmn_Samudera_Selatan",60,52,12.8428571428571,14.3428571428571,58.1571428571429,0,668694
"3","Gombak",2015,4,"SELANGOR","Bdr_Tasik_Puteri_Gv_6",1,32,70.6714285714286,4.51428571428571,0.985714285714286,0,668694
"4","Gombak",2014,51,"SELANGOR","Tmn_Selayang_Utama_Zon_1",64,68,82.3285714285714,22.0285714285714,0.714285714285714,0,668694
"5","Gombak",2015,9,"SELANGOR","Bdr_Country_Homes_Fasa_12",64,75,73.9571428571429,5.68571428571429,1.12857142857143,0,668694
"6","Gombak",2014,44,"SELANGOR","Tmn_Rasmi_Jaya_Zon_2",88,46,82.4857142857143,15.8,1.02857142857143,0,668694
"7","Gombak",2014,43,"SELANGOR","Ukay_Bistari_Zon_3",124,33,81.7714285714286,33.5714285714286,1.08571428571429,0,668694
"8","Gombak",2015,10,"SELANGOR","Tmn_Greenpark",168,33,64.8571428571429,15.8857142857143,1.15714285714286,0,668694
"9","Gombak",2015,4,"SELANGOR","Flat_Pinggiran_Bt_Caves",146,33,70.6714285714286,4.51428571428571,0.985714285714286,0,668694
"10","Gombak",2014,44,"SELANGOR","Tmn_Rasmi_Jaya_Zon_1",34,47,82.4857142857143,15.8,1.02857142857143,0,668694
"11","Gombak",2014,38,"SELANGOR","Tmn_Melawati_F",34,49,75.1142857142857,4.71428571428571,1.25714285714286,0,668694
"12","Gombak",2014,47,"SELANGOR","Tmn_Selasih_Fasa_2_Zon_3",146,31,76.2571428571429,7.51428571428571,0.814285714285714,0,668694
