 JUMLAH ," 5 ,345,454"
 TOTAL,
GOMBAK ,"668,694"
Batu ,"285,288"
Rawang ,"199,095"
Setapak,"76,247"
Ulu Kelang ,"108,064"
KLANG ,"842,146"
Bandar Klang ,"10,445"
Kapar ,"262,994"
Klang ,"568,707"
KUALA LANGAT ,"220,214"
Bandar ,"11,136"
Batu ,"16,283"
Jugra ,"7,371"
Kelanang ,"19,894"
Morib ,"3,640"
Tanjong Dua Belas ,"98,164"
Telok Panglima Garang ,"63,726"
KUALA SELANGOR ,"205,257"
Api-Api ,"21,628"
Bestari Jaya ,"24,584"
(Batang Berjuntai),
Ijok ,"54,119"
Jeram ,"45,352"
Kuala Selangor ,"11,649"
Pasangan ,"7,312"
Tanjong Karang ,"30,624"
Ujong Permatang ,"9,835"
Ulu Tinggi ,1 54
PETALING ," 1 ,765,495"
Bandar Petaling Jaya ,"61,367"
Bukit Raja ,"117,869"
Damansara ,"516,666"
Petaling ,"603,430"
Sungai Buloh ,"466,163"
SABAK BERNAM ,"103,709"
Bagan Nakhoda Omar ,"11,623"
Sungai Panjang ,"8,568"
Pasir Panjang ,"24,231"
Sabak ,"20,232"
Pancang Bedena ,"39,055"
SEPANG ,"207,354"
Dengkil ,"170,442"
Labu ,"8,786"
Sepang ,"28,126"
ULU LANGAT ,"1,138,198"
Ampang ,"342,676"
Beranang ,"49,772"
Cheras ,"244,563"
Kajang ,"342,657"
Semenyih ,"99,669"
Ulu Langat ,"55,251"
Ulu Semenyih ,"3,610"
ULU SELANGOR ,"194,387"
Ampang Pechah ,"13,649"
Batang Kali ,"32,783"
Buloh Telor ,1 10
Kalumpang ,"2,444"
Kerling ,"3,718"
Kuala Kalumpang ,"3,605"
Peretak ,"1,418"
Rasa ,"2,999"
Serendah ,"83,099"
Sungai Gumut ,"1,703"
Sungai Tinggi ,"1,884"
Ulu Bernam ,"26,671"
Ulu Yam ,"20,304"
GOMBAK  ,"668,694"
Batu ,"285,288"
Rawang,"199,095"
Setapak ,"76,247"
Ulu Kelang ,"108,064"
KLANG ,"842,146"
Bandar Klang ,"10,445"
Kapar ,"262,994"
Klang ,"568,707"
KUALA LANGAT ,"220,214"
Bandar ,"11,136"
Batu ,"16,283"
Jugra ,"7 ,371"
Kelanang ,"19,894"
Morib ,"3 ,640"
Tanjong Dua Belas ,"98,164"
Telok Panglima Garang ,"63,726"
KUALA SELANGOR ,"205,257"
Api-Api ,"21,628"
Bestari Jaya ,"24,584"
(Batang Berjuntai),
Ijok ,"54,119"
Jeram ,"45,352"
Kuala Selangor ,"11,649"
Pasangan ,"7 ,312"
Tanjong Karang ,"30,624"
Ujong Permatang ,"9 ,835"
Ulu Tinggi ,154
PETALING ,"1,765,495"
Bandar Petaling Jaya ,"61,367"
Bukit Raja ,"117,869"
Damansara ,"516,666"
Petaling ,"603,430"
Sungai Buloh ,"466,163"
SABAK BERNAM ,"103,709"
Bagan Nakhoda Omar ,"11,623"
Sungai Panjang ,"8 ,568"
Pasir Panjang ,"24,231"
Sabak ,"20,232"
Pancang Bedena ,"39,055"
GOMBAK ,"45,753"
Batu ,"18,891"
Rawang ,"14,794"
Setapak ,"4 ,342"
Ulu Kelang ,"7 ,726"
KLANG ,"57,404"
Bandar Klang ,831
Kapar ,"17,608"
Klang ,"38,965"
KUALA LANGAT ,"14,145"
Bandar ,709
Batu ,"1 ,009"
Jugra ,366
Kelanang ,"1 ,301"
Morib ,225
Tanjong Dua Belas ,"6 ,344"
Telok Panglima Garang ,"4 ,191"
KUALA SELANGOR ,"13,582"
Api-Api ,"1 ,521"
Bestari Jaya ,"1 ,140"
(Batang Berjuntai),
Ijok ,"4 ,024"
Jeram ,"2 ,928"
Kuala Selangor ,814
Pasangan ,439
Tanjong Karang ,"2 ,033"
Ujong Permatang ,677
Ulu Tinggi ,6
PETALING ,"112,836"
Bandar Petaling Jaya ,"3 ,573"
Bukit Raja ,"6 ,182"
Damansara ,"31,179"
Petaling ,"39,878"
Sungai Buloh ,"32,024"
SABAK BERNAM ,"6,973"
Bagan Nakhoda Omar ,540
Sungai Panjang ,599
Pasir Panjang ,"1 ,821"
Sabak ,"1 ,364"
Pancang Bedena ,"2 ,649"
SEPANG ,"207,354"
Dengkil ,"170,442"
Labu ,"8 ,786"
Sepang ,"28,126"
ULU LANGAT ,"1,138,198"
Ampang ,"342,676"
Beranang ,"49,772"
Cheras ,"244,563"
Kajang ,"342,657"
Semenyih ,"99,669"
Ulu Langat ,"55,251"
Ulu Semenyih ,"3 ,610"
ULU SELANGOR ,"194,387"
Ampang Pechah ,"13,649"
Batang Kali ,"32,783"
Buloh Telor ,110
Kalumpang ,"2 ,444"
Kerling ,"3 ,718"
Kuala Kalumpang ,"3 ,605"
Peretak ,"1 ,418"
Rasa ,"2 ,999"
Serendah ,"83,099"
Sungai Gumut ,"1 ,703"
Sungai Tinggi ,"1 ,884"
Ulu Bernam ,"26,671"
Ulu Yam ,"20,304"
SEPANG ,"12,522"
Dengkil ,"10,036"
Labu ,533
Sepang ,"1 ,953"
ULU LANGAT ,"74,842"
Ampang ,"22,912"
Beranang ,"3 ,267"
Cheras ,"17,511"
Kajang ,"20,184"
Semenyih ,"7 ,089"
Ulu Langat ,"3 ,670"
Ulu Semenyih ,209
ULU SELANGOR ,"13,317"
Ampang Pechah ,854
Batang Kali ,"2,321"
Buloh Telor ,7
Kalumpang ,138
Kerling ,220
Kuala Kalumpang ,234
Peretak ,83
Rasa ,223
Serendah ,"6,117"
Sungai Gumut ,112
Sungai Tinggi ,105
Ulu Bernam ,"1,421"
Ulu Yam ,"1,482"
GOMBAK ,"668,694"
Batu ,"285,288"
Rawang,"199,095"
Setapak ,"76,247"
Ulu Kelang ,"108,064"
KLANG ,"842,146"
Bandar Klang ,"10,445"
Kapar ,"262,994"
Klang ,"568,707"
KUALA LANGAT ,"220,214"
Bandar ,"11,136"
Batu ,"16,283"
Jugra ,"7,371"
Kelanang ,"19,894"
Morib ,"3,640"
Tanjong Dua Belas ,"98,164"
Telok Panglima Garang ,"63,726"
KUALA SELANGOR ,"205,257"
Api-Api ,"21,628"
Bestari Jaya ,"24,584"
(Batang Berjuntai),
Ijok ,"54,119"
Jeram ,"45,352"
Kuala Selangor ,"11,649"
Pasangan ,"7,312"
Tanjong Karang ,"30,624"
Ujong Permatang ,"9,835"
Ulu Tinggi ,154
PETALING ,"1,765,495"
Bandar Petaling Jaya ,"61,367"
Bukit Raja ,"117,869"
Damansara ,"516,666"
